,AL1,AL2,AL3,AL4,AL5,AL6,AL7,AL8,AL9,AL10,AL11,AL12,AL13,AL14,AL15,AL16,AL17,AL18,AL19,AL20,AL21,AL22,AL23,AD1,AD2,AD3,AD4,AD5,LL1,LL2,LL3,LL4,LL5,LL6,LL7,LL8,LD1,LD2
Cre01.g000017.v5.5,1.74754,1.05101,2.48663,0.542733,0.783349,1.14623,0.656084,1.78023,0.790505,1.86574,1.49003,1.17745,1.78813,2.16103,2.75055,0.433743,1.02577,2.50206,1.64209,0.899946,1.78906,1.30107,3.54568,1.7076,0.841045,3.55392,1.36069,1.63292,0.0127763,0.305883,0.120056,0.0725979,0.347504,0.178287,0.199376,0.566223,3.86319,3.83214
Cre01.g000033.v5.5,1.12253,1.52868,1.85927,1.00469,1.24704,1.96453,4.04526,0.669653,1.81154,0.407053,0.717097,0.373007,1.22759,0.35718,0.18753,1.3826,1.94464,0.604379,1.07594,3.41259,1.19418,0.474362,0.807784,1.57944,2.33537,1.30463,5.21326,21.9431,0.534832,0.204268,0.439488,0.390137,0.399892,0.58328,1.34883,1.47611,2.97992,2.28032
Cre01.g000050.v5.5,1.72212,1.67573,1.84957,1.75177,1.76363,1.94286,1.71385,2.4469,1.90262,1.91544,2.64156,1.47541,1.82739,2.66119,1.65124,1.16866,1.14967,1.3471,1.52801,1.62647,2.0069,2.03871,1.99372,0.94499,1.11856,1.30883,1.97208,2.33628,0.653538,0.735438,0.679289,0.72523,0.572153,0.501318,0.326757,0.587159,2.3121,2.68266
Cre01.g000100.v5.5,1.16804,1.36739,1.03719,1.9065,0.98236,1.40458,1.02145,1.16178,1.27702,1.40223,1.54542,0.935172,1.1298,1.41767,0.969017,1.08832,1.21577,1.21405,1.28557,1.08487,1.27415,1.19834,1.3091,0.921044,0.906933,0.762969,2.13875,1.65875,0.270318,0.277363,0.29911,0.277354,0.368038,0.278233,0.333751,0.372516,1.58981,2.08725
Cre01.g000150.v5.5,1.60786,7.4065,7.37202,4.39429,1.68171,2.54482,7.01624,1.46849,2.47681,2.65501,3.57516,2.27701,3.29014,2.20921,8.16149,3.8577,2.96064,2.67569,2.62597,5.1227,2.72232,1.39658,1.21478,1.36968,3.80718,0.95363,0.322441,1.284,2.19179,3.9335,0.975992,2.0627,1.32972,2.85106,1.30342,4.70645,3.08072,3.68771
Cre01.g000200.v5.5,4.95055,4.71293,5.57687,3.67262,4.43596,4.86631,2.68695,2.86627,4.02496,6.63583,4.60846,2.17784,3.25749,3.32351,2.35916,2.868,3.13562,2.63066,3.95264,2.62239,4.24655,4.55228,6.86077,7.21307,8.14077,9.55884,10.4207,8.51625,1.83042,1.10063,2.388,1.41201,1.32173,1.05521,1.45813,1.32724,3.86925,3.52046
Cre01.g000250.v5.5,9.61142,7.58081,6.85914,9.27569,9.68127,9.51938,8.13215,14.4148,8.02393,12.8351,9.53545,9.48867,15.474,11.7092,13.9249,14.1051,13.6484,12.4845,11.9603,9.67502,13.0943,12.7778,9.47348,22.1663,18.8433,15.9744,13.8123,10.5229,8.6713,11.304,12.1318,11.057,8.08477,9.98589,4.29002,9.49561,10.2647,9.70056
Cre01.g000300.v5.5,30.3283,29.1195,28.5254,23.6164,29.1405,20.1604,36.0706,23.3823,21.7625,25.4581,22.29,24.3809,18.0047,26.253,26.192,29.0655,29.262,21.111,22.4181,28.9243,17.9214,27.0642,20.0364,122.379,99.8213,93.3906,61.085,15.3191,19.7048,8.72909,12.9985,8.46042,9.44063,12.3561,12.629,14.7334,9.05342,8.57903
Cre01.g000350.v5.5,37.0625,30.4715,39.7651,36.2924,33.3315,37.1602,39.9915,23.5654,33.071,29.0449,36.0113,41.4277,40.757,29.4829,32.3882,44.3394,44.7247,34.7284,38.957,39.9185,44.3697,29.1428,23.9313,36.7144,48.5928,45.1572,72.5955,30.2198,25.6108,21.5554,48.4405,25.6462,25.3746,27.5392,25.2107,25.8268,23.5781,23.8546
Cre01.g000400.v5.5,4.64541,4.52371,5.18836,3.61078,3.64988,3.98403,3.35173,4.08407,3.63375,3.70378,3.50344,2.9832,2.16465,4.95402,2.89616,2.29391,2.75164,2.96006,2.89481,3.12447,3.35959,2.54587,4.1989,3.91136,3.86265,5.11504,4.11461,4.35784,1.82735,1.48596,0.776337,1.4603,1.86778,1.42464,1.81995,1.16272,4.60627,4.34363
Cre01.g000450.v5.5,6.23431,5.78221,5.18018,9.76709,5.22651,8.00853,8.61486,8.8806,7.64725,8.84848,7.15684,9.18264,13.7433,5.66455,8.56324,9.93423,9.56073,10.6676,8.41843,8.95173,11.8273,11.1145,8.37266,6.36674,7.04931,4.36988,7.95531,9.75619,5.01647,5.316,3.06772,4.52049,4.81181,4.21176,3.30171,5.01251,5.954,5.62631
